,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,forts,../inputs/case2736sp.graphml,2736,3265,645,2,5943,832,2,770.0,781,0.014084507042253521,Timeout,237456,900203742,1418,1737030,17787
1,jovanovic,../inputs/case13659pegase.graphml,13659,18625,4024,1,71541,161265,4,7465.0,7465,0.0,Optimal,1997,361235792,0,0,0
2,brimkov,../inputs/case6470rte.graphml,6470,8066,2352,7,22080,39430,0,1312.0,1312,0.0,Optimal,2464,22696081,0,0,0
3,jovanovic,../inputs/case6468rte.graphml,6468,8065,2384,8,21486,74702,0,1294.0,1294,0.0,Optimal,1904,61917528,0,0,0
4,brimkov,../inputs/case6468rte.graphml,6468,8065,2384,14,20384,39298,1,1291.0,1291,0.0,Optimal,510,2719822,0,0,0
5,forts,../inputs/case2869pegase.graphml,2869,3968,869,12,3006,10,3,612.0,612,0.0,Optimal,3082,1229909,20,91642,10774
6,jovanovic,../inputs/case2868rte.graphml,2868,3471,983,14,9010,33514,2,598.0,598,0.0,Optimal,867,7667590,0,0,0
7,jovanovic,../inputs/case9241pegase.graphml,9241,14207,2902,36,26249,89412,2,2010.0,2010,0.0,Optimal,1963,46281247,0,0,0
8,jovanovic,../inputs/case145.graphml,145,422,71,1,1429,4106,3,55.0,55,0.0,Optimal,1,279090,0,0,0
9,forts,../inputs/case3120sp.graphml,3120,3684,798,2,6689,938,2,876.0,-1,100.0,Timeout,282339,900259970,836,1478083,17613
10,jovanovic,../inputs/case118.graphml,118,179,11,9,276,901,4,29.0,29,0.0,Optimal,1,12065,0,0,0
11,forts,../inputs/case9241pegase.graphml,9241,14207,2902,20,10655,50,4,2010.0,2010,0.0,Optimal,1951,4464159,31,419122,34379
12,jovanovic,../inputs/case9241pegase.graphml,9241,14207,2902,7,31426,89836,4,2014.0,2014,0.0,Optimal,1633,69811028,0,0,0
13,forts,../inputs/case_GB2224.graphml,2224,2804,1367,7,2794,62,1,326.0,326,0.0,Optimal,21959,10026425,179,194358,6371
14,brimkov,../inputs/case145.graphml,145,422,71,19,616,2560,3,18.0,18,0.0,Optimal,1,74266,0,0,0
15,brimkov,../inputs/case89pegase.graphml,89,206,43,1,696,668,4,34.0,34,0.0,Optimal,1,48220,0,0,0
16,brimkov,../inputs/case9241pegase.graphml,9241,14207,2902,22,27418,36635,1,2010.0,2010,0.0,Optimal,1,9557041,0,0,0
17,brimkov,../inputs/case24_ieee_rts.graphml,24,34,4,0,129,93,1,20.0,20,0.0,Optimal,1,3400,0,0,0
18,brimkov,../inputs/case_Western.graphml,10024,12241,4106,4,38213,66241,1,1927.0,1932,0.002587991718426501,Timeout,19531,900341431,0,0,0
19,forts,../inputs/case1951rte.graphml,1951,2375,651,14,1966,1,3,393.0,393,0.0,Optimal,65,134784,13,61725,6978
20,forts,../inputs/case_iceland118.graphml,189,203,110,1,507,101,0,82.0,83,0.012048192771084338,Timeout,7328582,902515930,736,94121,1608
21,forts,../inputs/case1888rte.graphml,1888,2308,681,2,4715,626,3,564.0,570,0.010526315789473684,Timeout,1391664,901155299,371,401240,7827
22,forts,../inputs/case2869pegase.graphml,2869,3968,869,8,3541,64,1,613.0,613,0.0,Optimal,1648,955580,23,90504,10295
23,brimkov,../inputs/case9.graphml,9,9,4,0,46,46,2,5.0,5,0.0,Optimal,1,3817,0,0,0
24,forts,../inputs/case6495rte.graphml,6495,8084,2344,12,6602,8,0,1314.0,1314,0.0,Optimal,2888,2945788,26,292649,22259
25,jovanovic,../inputs/case2746wop.graphml,2746,3300,709,4,8658,23774,2,683.0,683,0.0,Optimal,8414,28674873,0,0,0
26,forts,../inputs/case11_iwamoto.graphml,11,11,6,3,15,1,4,2.0,2,0.0,Optimal,1,610,7,170,21
27,forts,../inputs/case2868rte.graphml,2868,3471,983,16,2868,0,2,598.0,598,0.0,Optimal,406,301751,16,118168,12098
28,jovanovic,../inputs/case6495rte.graphml,6495,8084,2344,8,21534,74972,3,1317.0,1317,0.0,Optimal,1881,69463263,0,0,0
29,jovanovic,../inputs/case2737sop.graphml,2737,3266,655,9,7390,23166,4,683.0,683,0.0,Optimal,1,1639347,0,0,0
30,brimkov,../inputs/case2746wop.graphml,2746,3300,709,5,8123,10064,1,681.0,681,0.0,Optimal,449,1756753,0,0,0
31,jovanovic,../inputs/case1951rte.graphml,1951,2375,651,7,6642,22172,4,401.0,401,0.0,Optimal,6,1985757,0,0,0
32,jovanovic,../inputs/case_GB2224.graphml,2224,2804,1367,6,9412,32983,4,329.0,329,0.0,Optimal,1694,33764344,0,0,0
33,brimkov,../inputs/case3012wp.graphml,3012,3566,726,3,9995,10807,0,780.0,780,0.0,Optimal,1751,20848108,0,0,0
34,jovanovic,../inputs/case2848rte.graphml,2848,3442,1023,13,8975,33092,0,585.0,585,0.0,Optimal,181,5230673,0,0,0
35,forts,../inputs/case1888rte.graphml,1888,2308,681,13,1902,1,0,375.0,375,0.0,Optimal,607,193625,31,63398,6582
36,brimkov,../inputs/case6515rte.graphml,6515,8104,2344,16,20456,39829,1,1315.0,1315,0.0,Optimal,2731,4598173,0,0,0
37,jovanovic,../inputs/case6ww.graphml,6,11,1,1,37,56,2,3.0,3,0.0,Optimal,1,2408,0,0,0
38,brimkov,../inputs/case1354pegase.graphml,1354,1710,422,10,3921,6189,1,311.0,311,0.0,Optimal,1,100129,0,0,0
39,forts,../inputs/case_GBreduced29.graphml,29,50,0,2,119,24,4,10.0,10,0.0,Optimal,1,8436,12,498,90
