,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,efpss,../inputs/case14.graphml,14,20,2,1,58,27,2,6.0,6,0.0,Optimal,1,822,2,11,0
1,efpss-inp-outp,../inputs/case89pegase.graphml,89,206,43,7,430,223,4,13.0,13,0.0,Optimal,1,11886,7,334,3
2,efpss-inp-outp,../inputs/case2746wp.graphml,2746,3274,704,2,7969,5700,4,775.0,775,0.0,Optimal,1861,11461954,28,35247,98
3,efpss-inp-outp,../inputs/case3375wp.graphml,3374,4068,889,6,6510,6122,4,818.0,818,0.0,Optimal,3382,3380980,15,24298,72
4,efpss,../inputs/case145.graphml,145,422,71,9,805,169,1,18.0,18,0.0,Optimal,53,64739,21,2729,248
5,efpss-inp,../inputs/case6495rte.graphml,6495,8084,2344,10,14354,10935,3,1314.0,1314,0.0,Optimal,2394,5505086,33,263911,2634
6,efpss-inp,../inputs/case_iceland118.graphml,189,203,110,6,501,350,2,39.0,39,0.0,Optimal,1,17433,9,922,96
7,efpss,../inputs/case2848rte.graphml,2848,3442,1023,7,6927,2939,2,587.0,587,0.0,Optimal,1677,1888448,52,94338,3229
8,efpss-outp,../inputs/case6515rte.graphml,6515,8104,2344,1,28016,13241,0,2973.0,2973,0.0,Optimal,1786,8301561,13,99471,266
9,efpss-inp-outp,../inputs/case2746wp.graphml,2746,3274,704,9,4757,4868,4,684.0,684,0.0,Optimal,1,151136,12,8668,41
10,efpss-outp,../inputs/case145.graphml,145,422,71,2,1220,318,3,35.0,35,0.0,Optimal,1938,256796,26,3537,56
11,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,7,6285,3829,4,616.0,616,0.0,Optimal,44,579760,17,24242,70
12,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,7,6285,3829,0,616.0,616,0.0,Optimal,115,592677,20,19571,67
13,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,4,28243,18463,3,2094.0,2094,0.0,Optimal,12147,157960774,43,444804,298
14,efpss,../inputs/case9241pegase.graphml,9241,14207,2902,14,18835,9321,1,2010.0,2010,0.0,Optimal,1723,8423182,29,337668,3209
15,efpss-inp,../inputs/case9241pegase.graphml,9241,14207,2902,24,17988,14105,0,2010.0,2010,0.0,Optimal,1663,8845028,52,396673,2080
16,efpss,../inputs/case145.graphml,145,422,71,18,528,149,1,18.0,18,0.0,Optimal,75,47701,18,2121,239
17,efpss-inp-outp,../inputs/case39.graphml,39,46,10,0,163,113,2,29.0,29,0.0,Optimal,1,1863,7,166,5
18,efpss-inp-outp,../inputs/case96rts.graphml,73,108,9,3,200,130,1,20.0,20,0.0,Optimal,1,28606,10,213,0
19,efpss,../inputs/case6495rte.graphml,6495,8084,2344,10,14354,6533,0,1314.0,1314,0.0,Optimal,3753,7416165,27,170493,6029
20,efpss-inp,../inputs/case_GB2224.graphml,2224,2804,1367,14,6282,4246,4,322.0,322,0.0,Optimal,1538,2494237,60,100740,1997
21,efpss,../inputs/case3375wp.graphml,3374,4068,889,2,10227,4449,1,948.0,948,0.0,Optimal,399877,893985400,91,187118,3032
22,efpss-inp,../inputs/case_Western.graphml,10024,12241,4106,1,44801,25449,1,3588.0,3589,0.00027862911937499016,Timeout,154402,901205010,164,2879006,18020
23,efpss,../inputs/case2746wp.graphml,2746,3274,704,4,5839,2934,3,690.0,690,0.0,Optimal,1683,2641792,47,65807,2076
24,efpss-inp,../inputs/case6495rte.graphml,6495,8084,2344,1,27945,15268,2,2969.0,2969,0.0,Optimal,7516,59008338,68,555745,7149
25,efpss-inp-outp,../inputs/case2869pegase.graphml,2869,3968,869,7,6285,5420,2,616.0,616,0.0,Optimal,178,665961,16,18825,69
26,efpss-inp-outp,../inputs/case1888rte.graphml,1888,2308,681,10,4166,3864,2,375.0,375,0.0,Optimal,1,193458,11,7529,36
27,efpss,../inputs/case3012wp.graphml,3012,3566,726,3,6983,3399,0,780.0,780,0.0,Optimal,8759,24845465,64,85158,2437
28,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,31,17450,16987,3,2010.0,2010,0.0,Optimal,4166,11130743,16,154682,159
29,efpss-inp-outp,../inputs/case1951rte.graphml,1951,2375,651,15,4102,3915,3,393.0,393,0.0,Optimal,15,154451,11,11155,23
30,efpss-inp-outp,../inputs/case57.graphml,57,78,15,2,188,128,4,14.0,14,0.0,Optimal,1,2682,3,61,0
31,efpss-inp-outp,../inputs/case3375wp.graphml,3374,4068,889,1,13497,8770,3,1454.0,1454,0.0,Optimal,1681,4184649,25,51328,125
32,efpss-inp,../inputs/case2746wop.graphml,2746,3300,709,6,5071,4215,4,678.0,678,0.0,Optimal,1939,1767861,54,58206,1005
33,efpss,../inputs/case2746wop.graphml,2746,3300,709,8,4832,2751,0,677.0,677,0.0,Optimal,3669,2091413,28,34598,1681
34,efpss,../inputs/case_Texas.graphml,2000,2667,376,0,9023,4000,3,1624.0,1624,0.0,Optimal,4476,3675594,72,102157,6005
35,efpss-outp,../inputs/case6ww.graphml,6,11,1,2,31,13,0,2.0,2,0.0,Optimal,1,2669,1,8,0
36,efpss-inp,../inputs/case6ww.graphml,6,11,1,2,31,15,4,2.0,2,0.0,Optimal,1,669,1,2,0
37,efpss-outp,../inputs/case2737sop.graphml,2737,3266,655,1,10700,5644,4,1204.0,1204,0.0,Optimal,4982,4361196,13,21627,81
38,efpss-inp-outp,../inputs/case2869pegase.graphml,2869,3968,869,10,5661,5350,3,612.0,612,0.0,Optimal,1,172016,9,12809,34
39,efpss,../inputs/case1888rte.graphml,1888,2308,681,9,4196,1902,2,375.0,375,0.0,Optimal,237,353484,19,24146,1937
40,efpss,../inputs/case300.graphml,300,409,66,9,517,301,3,72.0,72,0.0,Optimal,1,13259,12,1508,131
41,efpss-inp-outp,../inputs/case3375wp.graphml,3374,4068,889,1,13497,8770,2,1454.0,1454,0.0,Optimal,1771,3745109,27,54247,141
42,efpss,../inputs/case3012wp.graphml,3012,3566,726,5,5665,3098,2,758.0,758,0.0,Optimal,1801,2459558,55,80822,2065
43,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,0,45305,26212,2,6600.0,6600,0.0,Optimal,1930,6406068,44,290567,895
44,efpss,../inputs/case6468rte.graphml,6468,8065,2384,3,20197,7555,1,1544.0,1544,0.0,Optimal,8037,52523575,106,745220,7300
45,efpss-outp,../inputs/case6468rte.graphml,6468,8065,2384,6,16476,9158,0,1313.0,1313,0.0,Optimal,1726,6173581,26,283166,157
46,efpss-outp,../inputs/case57.graphml,57,78,15,1,252,128,0,22.0,22,0.0,Optimal,1,3525,5,141,1
47,efpss-inp-outp,../inputs/case_ieee30.graphml,30,41,7,2,104,66,2,8.0,8,0.0,Optimal,1,2590,5,49,0
48,efpss-outp,../inputs/case2736sp.graphml,2736,3265,645,9,4640,3381,2,682.0,682,0.0,Optimal,1,165729,10,7330,39
49,efpss-inp,../inputs/case_GB2224.graphml,2224,2804,1367,12,6309,4248,1,322.0,322,0.0,Optimal,1751,2863374,42,65487,2018
50,efpss-inp-outp,../inputs/case_GBreduced29.graphml,29,50,0,6,29,29,4,7.0,7,0.0,Optimal,1,831,2,23,0
51,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,7,22185,17398,4,2014.0,2014,0.0,Optimal,1917,11139655,24,262291,212
52,efpss-inp,../inputs/case_Texas.graphml,2000,2667,376,15,3705,3051,2,411.0,411,0.0,Optimal,2435,6437575,26,19069,816
